accessibility,address,elevator,facade,floor,floor_heating,furnished,garage,garden,glazing,living_surface,locality_name,number_baths,number_garage,number_rooms,postal_code,price,project_url,property_id,property_type,property_url,state,swimming_pool,terrace
0,,1,,3,0,0,0,0,,109,,1,,2,,331850,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32882,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32882,New,0,1
0,,1,,3,0,0,0,0,,90,,,,2,,263200,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32884,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32884,New,0,1
0,,1,,3,0,0,0,0,,119,,1,,2,,369000,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32887,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32887,New,0,1
0,,1,,3,0,0,0,0,,99,,1,,2,,317200,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32891,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32891,Excellent,0,1
0,,1,,3,0,0,0,0,,93,,1,,2,,275200,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32892,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32892,Excellent,0,1
0,,1,,3,0,0,0,0,,99,,1,,2,,318000,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32893,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32893,New,0,1
0,,1,,3,0,0,0,0,,93,,1,,2,,292000,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32894,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32894,Excellent,0,1
0,,1,,3,0,0,0,0,,118,,1,,2,,335700,https://immovlan.be/en/projectdetail/3055304-vlan96125909_om_144,VBA32883,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4840/welkenraedt/vba32883,New,0,1
0,Strandlaan 230,0,,,0,0,0,1,,150,Koksijde,2,,3,8670,739900,https://immovlan.be/en/projectdetail/24431-p-vk2273-dhiftbxl,RBU15835,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbu15835,,0,1
0,Strandlaan 230,0,,,0,0,0,1,,103,Koksijde,1,,2,8670,536000,https://immovlan.be/en/projectdetail/24431-p-vk2273-dhiftbxl,RBU15832,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbu15832,,0,1
0,Strandlaan 230,0,,,0,0,0,1,,119,Koksijde,1,,2,8670,525800,https://immovlan.be/en/projectdetail/24431-p-vk2273-dhiftbxl,RBU15826,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbu15826,,0,1
0,Strandlaan 230,0,,,0,0,0,1,,101,Koksijde,1,,2,8670,524600,https://immovlan.be/en/projectdetail/24431-p-vk2273-dhiftbxl,RBU15833,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbu15833,,0,1
0,Strandlaan 230,0,,,0,0,0,1,,103,Koksijde,1,,2,8670,516000,https://immovlan.be/en/projectdetail/24431-p-vk2273-dhiftbxl,RBU15830,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbu15830,,0,1
0,Strandlaan 230,0,,,0,0,0,1,,101,Koksijde,1,,2,8670,505100,https://immovlan.be/en/projectdetail/24431-p-vk2273-dhiftbxl,RBU15831,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbu15831,,0,1
0,Strandlaan 230,0,,,0,0,0,0,,103,Koksijde,1,,2,8670,504340,https://immovlan.be/en/projectdetail/24431-p-vk2273-dhiftbxl,RBU15828,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbu15828,,0,1
0,Strandlaan 230,0,,,0,0,0,1,,78,Koksijde,1,,1,8670,384600,https://immovlan.be/en/projectdetail/24431-p-vk2273-dhiftbxl,RBU15827,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbu15827,,0,1
0,Oordgemdorp,0,,,0,0,0,0,,,Oordegem,,,,9340,455000,https://immovlan.be/en/projectdetail/2980843-6192226,RBU49839,Residence,https://immovlan.be/en/detail/residence/for-sale/9340/oordegem/rbu49839,,0,0
0,Oordgemdorp,0,,,0,0,0,0,,,Oordegem,,,,9340,435000,https://immovlan.be/en/projectdetail/2980843-6192226,RBT42713,Residence,https://immovlan.be/en/detail/residence/for-sale/9340/oordegem/rbt42713,,0,0
0,Oordgemdorp,0,,,0,0,0,0,,,Oordegem,,,,9340,,https://immovlan.be/en/projectdetail/2980843-6192226,RBU49836,Residence,https://immovlan.be/en/detail/residence/for-sale/9340/oordegem/rbu49836,,0,0
0,Oordgemdorp,0,,,0,0,0,0,,,Oordegem,,,,9340,,https://immovlan.be/en/projectdetail/2980843-6192226,RBU49837,Residence,https://immovlan.be/en/detail/residence/for-sale/9340/oordegem/rbu49837,,0,0
0,Fincentlaan 11,0,,,0,0,0,0,,90,Knokke-Heist,1,,2,8300,576700,https://immovlan.be/en/projectdetail/24431-p-vk2266-bhswwk8e,RBU57475,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8300/knokke-heist/rbu57475,,0,1
0,Fincentlaan 11,0,,,0,0,0,0,,71,Knokke-Heist,1,,1,8300,485700,https://immovlan.be/en/projectdetail/24431-p-vk2266-bhswwk8e,RBU57476,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8300/knokke-heist/rbu57476,,0,1
0,Fincentlaan 11,0,,,0,0,0,0,,67,Knokke-Heist,1,,1,8300,437000,https://immovlan.be/en/projectdetail/24431-p-vk2266-bhswwk8e,RBU57473,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8300/knokke-heist/rbu57473,,0,1
0,Middelstede,0,2,,0,0,0,1,Double glass,154,Rijkevorsel,1,,3,2310,,https://immovlan.be/en/projectdetail/2980842-6268413,RBR82838,Residence,https://immovlan.be/en/detail/residence/for-sale/2310/rijkevorsel/rbr82838,,0,1
0,Middelstede,0,2,,0,0,0,1,Double glass,154,Rijkevorsel,1,,3,2310,,https://immovlan.be/en/projectdetail/2980842-6268413,RBR82839,Residence,https://immovlan.be/en/detail/residence/for-sale/2310/rijkevorsel/rbr82839,New,0,1
0,Middelstede,0,3,,0,0,0,1,Double glass,156,Rijkevorsel,1,,3,2310,,https://immovlan.be/en/projectdetail/2980842-6268413,RBR82840,Residence,https://immovlan.be/en/detail/residence/for-sale/2310/rijkevorsel/rbr82840,New,0,1
